COM COD,Course ID,Course title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,Midsem date,Compre date
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,,D J SHARIFF,,,,
,,Practical,,1,D J Shariff,307,M34,,
,,,,2,D J Shariff,307,M89,,
,,,,3,Neeru Sood,307,T45,,
,,,,4,Neeru Sood,307,T89,,
,,,,5,D J Shariff,307,W89,,
,,,,6,D J Shariff,307,Th34,,
,,,,7,Neeru Sood,307,Th89,,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,1,D J Shariff,101,M1 W4 Th6 F2,2.11.2022 FN,10.01.2023 FN
,,,,2,NEERU SOOD,105,M1 W4 Th6 F2,,
,,,,3,Mainak Dutta,123,M1 W4 Th6 F2,,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,1,MEGHANA S CHARDE,101,W1,1.11.22 FN,06.01.2023
,,,,2,Deepthi Mary Dilip,101,T5,,
,,,,3,Akshay Venkateshwaran,123,W1,,
,,Practical,,1,Deepthi Mary Dilip,MS5,M34,,
,,,,2,Meghana S Charde,MS5,T89,,
,,,,3,Akshay Venkateshwaran,MS5,Th34,,
1004,BITS F111,THERMODYNAMICS,3 0 3,1,Naveen Shrivastava,189,M4 T1 W2 F5,1.11.2022 AN,12.01.2023 AN
,,,,2,SNEHAUNSHU CHOUDHURY,165,M4 T1 W2 F5,,
,,,,3,Majid Hasan Khan,190,M4 T1 W2 F5,,
1005,BITS F112,TECHNICAL REPORT WRITING,3 0 3,1,Shazi S J,334,T7 F5,7.11.2022 FN,13.01.2023 FN
,,,,2,SAYANTAN CHAKRABORTY,336,T7 F5,,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,,GEETHA KANNAN,,,,
,,,,1,Vijaya Ilango,306,M34,,
,,,,2,Geetha Kannan,306,M89,,
,,,,3,Vijaya Ilango,306,T89,,
,,,,4,Geetha Kannan,306,W89,,
,,,,5,Geetha Kannan,306,Th34,,
,,,,6,Vijaya Ilango,306,Th89,,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,1,VIJAYA ILANGO,101,M6 T1 W2 F4,3.11.2022 FN,11.01.2023 FN
,,,,2,Rusal Raj,105,M6 T1 W2 F4,,
,,,,3,Geetha Kannan,123,M6 T1 W2 F4,,
1008,CS F111,COMPUTER PROGRAMMING,3 1 4,1,Pramod Gaur,105,M2 W3 Th5 F1,4.11.2022 FN,12.01.2023 FN
,,,,2,SAPNA SADHWANI,101,M2 W3 Th5 F1,,
,,,,3,Pramod Gaur,101,T3 W5 Th2 F3,,
,,Practical,,1,B Vijayakumar,335,M89,,
,,,,2,S Vadivel,335,W89,,
,,,,3,Pranav Mothabhau Pawar,335,Th89,,
1009,EEE F111,ELECTRICAL SCIENCES,3 0 3,1,T G THOMAS,165,M1 W6 Th2 F4,3.11.2022 AN,11.01.2023 AN
,,,,2,V Kalaichelvi,189,M1 W6 Th2 F4,,
,,,,3,Sunil Thomas,190,M1 W6 Th2 F4,,
905,MATH D021,REMEDIAL MATHEMATICS,5 0 5,1,A Somasundaram/K KUMAR,165,M5 T2 W9 Th8,31.10.2022 FN,9.01.2023 FN
1010,MATH F111,MATHEMATICS I,3 0 3,1,Priti Bajpai,101,M5 T2 W7 Th1,31.10.2022 FN,9.01.2023 FN
,,,,2,SUHEL AHMAD KHAN,105,M5 T2 W7 Th1,,
,,,,3,K Kumar,123,M5 T2 W7 Th1,,
,,,,4,Suhel Ahmad Khan,165,M3 T5 Th5 F3,,
,,,,5,Priti Bajpai,123,M3 T5 Th5 F3,,
,,,,6,K Kumar,189,M3 T5 W5 Th5,,
1012,MATH F113,PROBABILITY & STATISTICS,3 0 3,1,MANEESHA,165,M7 T9 W5 F1,7.11.2022 AN,9.01.2023 AN
,,,,2,Suhel Ahmad Khan,190,M7 T9 W5 F1,,
,,,,3,MANEESHA,190,M5 T2 W9 Th3,,
2379,ME F112,WORKSHOP PRACTICE,1 1 2,1,RAVINDRA GIRIRAJ BHARDWAJ,165,T3,,
,,,,2,Ravindra Giriraj Bhardwaj,189,W8,,
,,,,3,Ravindra Giriraj Bhardwaj,165,Th4,,
,,Practical,,1,Gulshan Kumar,MG1,M89,,
,,,,2,Naveen Shrivastava,MG1,T34,,
,,,,3,Priyank Upadhyaya,MG1,T89,,
,,,,4,Ravindra Giriraj Bhardwaj,MG1,W34,,
,,,,5,Harpreet Singh Bedi,MG1,W89,,
,,,,6,Ram Karthikeyan,MG1,Th34,,
,,,,7,Snehaunshu Choudhury,MG1,Th89,,
1014,PHY F110,PHYSICS LABORATORY,0 2 1,1,R Roop Kumar,309,M89,,
,,,,2,K K Singh,309,T34,,
,,,,3,G AMARANATH,309,T89,,
,,,,4,R Roop Kumar,309,W34,,
,,,,5,G Amaranath,309,W89,,
,,,,6,K K Singh,309,Th34,,
,,,,7,R Roop Kumar,309,Th89,,
,,,,8,R Roop Kumar,309,F23,,
1015,PHY F111,MECH OSCILLATIONS & WAVE,3 0 3,1,R ROOP KUMAR,165,M2 T6 W1 Th6,2.11.2022 AN,10.01.2023 AN
,,,,2,K K Singh,189,M2 T6 W1 Th6,,
,,,,3,G Amaranath,190,M2 T6 W1 Th6,,
