COM COD,Course ID,Course title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,Midsem date,Compre date
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,,ADITYA SHARMA,,,,
,,,,1,Neeru Sood,307,M34,,
,,Practical,,2,Aditya Sharma,307,M89,,
,,,,3,Aditya Sharma,307,T89,,
,,,,4,Mainak Dutta,307,W34,,
,,,,5,Aditya Sharma,307,W89,,
,,,,6,Neeru Sood,307,Th89,,
,,,,7,S Ramachandran,307,F34,,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,,NEERU SOOD,,,31.10.2023 FN,03.01.2024 FN
,,,,1,Debostuti Ghosh,101,M1 T6 Th4 F5,,
,,,,2,Aditya Sharma,105,M1 T4 W1 Th5,,
,,,,3,Neeru Sood,123,M1 T4 Th5 F5,,
1100,BIOT F211,BIOLOGICAL CHEMISTRY,3 0 3,1,MAINAK DUTTA,220,M1 T9 W6 Th9,30.10.2023 AN,02.01.2024 AN
1101,BIOT F212,MICROBIOLOGY,3 1 4,1,TRUPTI GOKHALE,220,M5 T8 W1 F2,31.10.2023 AN,04.01.2024 AN
,,Practical,,1,Trupti Gokhale,307,T345,,
,,,,2,Trupti Gokhale,307,Th234,,
1102,BIOT F213,CELL BIOLOGY,3 0 3,1,NEERU SOOD,220,M6 T7 W5 F3,02.11.2023 AN,08.01.2024 AN
1104,BIOT F215,BIOPHYSICS,3 0 3,1,DEBOSTUTI GHOSH,220,M3 W3 Th8 F1,06.11.2023 AN,10.01.2024 AN
1367,BIOT F242,INTRO TO BIOINFORMATICS,3 0 3,1,ADITYA SHARMA,271,M5 W5 Th9,01.11.2023 AN,03.01.2024 AN
1845,BIOT F266,STUDY PROJECT,3,1,NEERU SOOD,,,,
1362,BIOT F311,RECOMBINANT DNA TECH,3 0 3,1,PALLAB SANPUI,271,M2 T3 W2 Th2,30.10.2023 AN,02.01.2024 AN
1363,BIOT F314,IND MICROBIO & BIOPRO ENGG,2 2 4,1,S RAMACHANDRAN,271,M9 T5,31.10.2023 AN,04.01.2024 AN
,,Practical,,1,S Ramachandran/ Debostuti Ghosh,307,M67,,
,,,,1,S Ramachandran/ Debostuti Ghosh,307,W67,,
1365,BIOT F343,EXPERIMENTS IN BIOTECH,0 3 3,,MAINAK DUTTA,,,,
,,Practical,,1,Mainak Dutta/ Pallab Sanpui,308,Th567,,
,,,,2,Mainak Dutta/ Pallab Sanpui,308,F345,,
1368,BIOT F345,PROTEOMICS,3 0 3,1,S RAMACHANDRAN,271,T7 W3 Th1,03.11.2023 FN,09.01.2024 FN
1843,BIOT F366,LABORATORY PROJECT,3,1,NEERU SOOD,,,,
1842,BIOT F367,LABORATORY PROJECT,3,1,NEERU SOOD,,,,
1841,BIOT F376,DESIGN PROJECT,3,1,NEERU SOOD,,,,
1840,BIOT F377,DESIGN PROJECT,3,1,NEERU SOOD,,,,
1375,BIOT F424,FOOD BIOTECHNOLOGY,3 0 3,1,TRUPTI GOKHALE,271,M3 T1 W4,31.10.2023 FN,05.01.2024 FN
1844,BIOT F491,SPECIAL PROJECT,3,1,NEERU SOOD,,,,
596,BITS C791T,TEACHING PRACTICE I,1,,RAM KARTHIKEYAN,,,,
520,BITS C797T,PHD SEMINAR,2,,RAM KARTHIKEYAN,,,,
553,BITS C799T,PHD THESIS,40,,RAM KARTHIKEYAN,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,5,1,RAM KARTHIKEYAN,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,,MEGHANA S CHARDE,,,06.11.2023 FN,11.01.2024 FN
,,,,1,Meghana S Charde,101,Th3,,
,,,,2,Akshay Venkateshwaran,105,Th4,,
,,,,3,Deepthi Mary Dilip,123,T3,,
,,Practical,,1,Meghana S Charde,MS5,M89,,
,,,,2,Meghana S Charde,MS5,W89,,
,,,,3,Deepthi Mary Dilip,MS5,Th34,,
1004,BITS F111,THERMODYNAMICS,3 0 3,1,SNEHAUNSHU CHOUDHURY,165,M2 T2 Th1 F3,01.11.2023 FN,05.01.2024 FN
,,,,2,Shashank Khurana,185,M2 T2 W1 Th1,,
,,,,3,Majid Hasan Khan,190,M2 W1 Th1 F5,,
1005,BITS F112,TECHNICAL REPORT WRITING,3 0 3,1,SAYANTAN CHAKRABORTY,101,T5 Th2,03.11.2023 FN,09.01.2024 FN
,,,,2,Shazi S J,105,T5 Th2,,
,,,,3,Sayantan Chakraborty,101,W2 F1,,
,,,,4,Shazi S J,105,W2 F1,,
1632,BITS F225,ENVIRONMENTAL STUDIES,3 0 3,,RUSAL RAJ,,,03.11.2023 FN,09.01.2024 AN
,,,,1,Vijaya Ilango,228,W2 Th1 F4,,
,,,,2,Rusal Raj,220,M4 W9 F4,,
2303,BITS F226,SOFT SKILLS FOR PROFESSIONALS,3 0 3,1,ROHIT,220,M7 T2 Th6,01.11.2023 FN,11.01.2024 AN
1334,BITS F312,NEURAL NET & FUZZY LOGIC,3 0 3,1,V KALAICHELVI,221,M5 W5 Th9,01.11.2023 AN,03.01.2024 AN
2336,BITS F327,AI IN ROBOTICS,2 1 3,1,RAM KARTHIKEYAN,276,M6 W6 Th5,31.10.2023 FN,05.01.2024 FN
,,,,1,Ram Karthikeyan,MS2,Th12,,
1592,BITS F412,PRACTICE SCHOOL II,20,,A SOMASUNDARAM,,,,
1808,BITS F416,INTRO TO NANO SCIENCE,3 0 3,1,K K SINGH,226,M5 W5 Th9,01.11.2023 AN,03.01.2024 AN
1593,BITS F421T,THESIS,16,,K KUMAR,,,,
1616,BITS F422T,THESIS,16,,K KUMAR,,,,
1617,BITS F423T,THESIS,9,,K KUMAR,,,,
2434,BITS F452,BLOCKCHAIN TECHNOLOGY,3 0 3,1,RAJA M,223,T6 W1 Th7,03.11.2023 FN,09.01.2024 FN
1339,BITS F464,MACHINE LEARNING,3 0 3,1,PRANAV MOTHABHAU PAWAR,268,T6 W1 Th7,03.11.2023 FN,09.01.2024 FN
2167,BITS G661,RESEARCH METHODOLOGY I,5,1,RAM KARTHIKEYAN,,,,
1073,CE F211,MECHANICS OF SOLIDS,3 0 3,1,AKSHAY VENKATESHWARAN,222,T6 W1 Th2 F3,30.10.2023 AN,02.01.2024 AN
1075,CE F213,SURVEYING,3 1 4,1,MEGHANA S CHARDE,222,T5 W6 Th8 F5,31.10.2023 AN,04.01.2024 AN
,,Practical,,1,Meghana S Charde,MF1,F12,,
2279,CE F230,CIVIL ENGINEERING MATERIALS,3 2 4,1,DEEPTHI MARY DILIP,222,M9 T1 W8 Th9,02.11.2023 AN,08.01.2024 AN
,,Practical,,1,Vivek B Kartha,MG2,M56,,
2280,CE F231,FLUID MECHANICS,3 0 3,1,BRIJ KISHORE PANDEY,222,M4 T7 W9 Th4,06.11.2023 AN,10.01.2024 AN
1652,CE F266,STUDY PROJECT,3,1,VIVEK B KARTHA,,,,
1196,CE F312,HYDRAULIC ENGINEERING,3 1 4,1,BRIJ KISHORE PANDEY,256,M7 T1 Th7 F3,30.10.2023 AN,02.01.2024 AN
,,Practical,,1,Brij Kishore Pandey,MF4,W34,,
1197,CE F313,FOUNDATION ENGINEERING,3 0 3,1,VIVEK B KARTHA,256,M3 T3 W1 Th6,31.10.2023 AN,04.01.2024 AN
2281,CE F320,DESIGN OF REINFORCED CONCRETE STRUCTURE,3 0 3,1,AKSHAY VENKATESHWARAN,256,M6 T8 W6 F5,02.11.2023 AN,08.01.2024 AN
1667,CE F366,LABORATORY PROJECT,3,1,VIVEK B KARTHA,,,,
1737,CE F367,LABORATORY PROJECT,3,1,VIVEK B KARTHA,,,,
1686,CE F376,DESIGN PROJECT,3,1,VIVEK B KARTHA,,,,
1753,CE F377,DESIGN PROJECT,3,1,VIVEK B KARTHA,,,,
1218,CE F425,AIRPORT RAIL & WATERWAYS,3 0 3,1,DEEPTHI MARY DILIP,256,M2 T6 F4,03.11.2023 FN,09.01.2024 FN
1220,CE F434,ENV IMPACT ASSESSMENT,3 0 3,1,VIVEK B KARTHA,256,W8 Th3 F2,31.10.2023 FN,05.01.2024 FN
1711,CE F491,SPECIAL PROJECT,3,1,VIVEK B KARTHA,,,,
1069,CHE F211,CHEMICAL PROCESS CALCULA,3 0 3,1,NISHANT H PANDYA,245,M1 T8 W5 Th8,30.10.2023 AN,02.01.2024 AN
1072,CHE F212,FLUID MECHANICS,3 0 3,1,MAJID HASAN KHAN,219,T6 W9 Th4 F2,31.10.2023 AN,04.01.2024 AN
1071,CHE F213,CHEM ENGG THERMODYNAMICS,3 0 3,1,SOUVIK K PAUL,245,M8 T1 W3 F3,02.11.2023 AN,08.01.2024 AN
1070,CHE F214,ENGINEERING CHEMISTRY,3 0 3,1,TEJAL PATEL,245,T3 W1 Th23,06.11.2023 AN,10.01.2024 AN
1653,CHE F266,STUDY PROJECT,3,1,B G PRAKASH KUMAR,,,,
1184,CHE F311,KINETICS & REACTOR DESIG,3 0 3,1,B G PRAKASH KUMAR,226,M3 T1 W4 F2,30.10.2023 AN,02.01.2024 AN
1185,CHE F312,CHEMICAL ENGG LAB I,0 3 3,1,NISHANT H PANDYA/B G Prakash Kumar/Murchana Changmai,340,W789,,
,,,,1,NISHANT H PANDYA/B G Prakash Kumar/Murchana Changmai,340,Th123,,
1186,CHE F313,SEPARATION PROCESSES II,3 0 3,1,MURCHANA CHANGMAI,226,M7 T3 W1 Th6,02.11.2023 AN,08.01.2024 AN
1187,CHE F314,PROCESS DES PRINCIPLES I,3 0 3,1,NISHANT H PANDYA,226,M4 T6 W3 F4,06.11.2023 AN,10.01.2024 AN
1668,CHE F366,LABORATORY PROJECT,3,1,B G PRAKASH KUMAR,,,,
1738,CHE F367,LABORATORY PROJECT,3,1,B G PRAKASH KUMAR,,,,
1687,CHE F376,DESIGN PROJECT,3,1,B G PRAKASH KUMAR,,,,
1754,CHE F377,DESIGN PROJECT,3,1,B G PRAKASH KUMAR,,,,
1206,CHE F411,ENVIR POLLUTION CONTROL,3 0 3,1,MURCHANA CHANGMAI,226,M2 T8 F5,31.10.2023 FN,05.01.2024 FN
1205,CHE F421,BIOCHEMICAL ENGINEERING,3 0 3,1,SOUVIK K PAUL,226,M6 Th8 F1,03.11.2023 FN,09.01.2024 FN
1209,CHE F491,SPECIAL PROJECT,3,1,B G PRAKASH KUMAR,,,,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,,VIJAYA ILANGO,,,,
,,,,1,Geetha Kannan,306,M34,,
,,,,2,Rusal Raj,306,M89,,
,,,,3,Rusal Raj,306,T34,,
,,,,4,Vijaya Ilango,306,T89,,
,,,,5,Geetha Kannan,306,W34,,
,,,,6,Vijaya Ilango,306,W89,,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,1,RUSAL RAJ,101,M6 T1 W6 F2,01.11.2023 FN,05.01.2024 FN
,,,,2,Vijaya Ilango,105,M6 T1 Th3 F2,,
